id	name	QID	dbl_id	start time	end time	point in time
dbl_009_event_0	American Civil War	Q8676		1861-04-12T00:00:00Z	1865-05-09T00:00:00Z	
dbl_009_event_1	American Civil War	Q8676		1861-04-12T00:00:00Z	1865-05-09T00:00:00Z	
dbl_009_event_2	American Civil War	Q8676		1861-04-12T00:00:00Z	1865-05-09T00:00:00Z	
dbl_009_event_3	George Wallace protest	Q116854669				1967-05-03T00:00:00Z
dbl_009_event_4	George Wallace protest	Q116854669				"1967-05-03T00:00:00Z
"
dbl_009_event_5	Wallace demonstration	Q116854669				"1967-05-03T00:00:00Z
"
dbl_009_event_6	Dartmouth protest	Q116854669				"1967-05-03T00:00:00Z
"
dbl_009_event_7	George Wallace incident	Q116854669				"1967-05-03T00:00:00Z
"
dbl_009_event_8	Wallace protest	Q116854669				"1967-05-03T00:00:00Z
"
dbl_009_event_9	George Wallace demonstration	Q116854669				"1967-05-03T00:00:00Z
"
dbl_009_event_10	George Wallace demonstration	Q116854669				"1967-05-03T00:00:00Z
"
dbl_009_event_11	Wallace protest	Q116854669				"1967-05-03T00:00:00Z
"
